,Spiro_Data
926,120.55
927,118.25
928,121.05
929,130.3
930,114.15
931,106.45
932,101.5
933,90.35
934,94.55
935,96.0
936,94.2
937,111.0
938,92.35
939,83.45
940,94.65
941,102.8
942,94.25
943,84.6
944,81.45
945,90.45
946,75.0
947,74.55
948,78.0
949,87.0
950,76.65
951,84.25
952,79.35
953,75.25
954,85.15
955,74.0
956,83.9
957,84.55
958,74.5
959,86.8
960,78.9
961,85.0
962,85.95
963,102.7
964,98.0
965,82.6
966,91.55
967,93.15
968,86.7
969,83.55
970,77.5
971,71.5
972,80.55
973,76.8
974,78.95
975,80.15
976,72.7
977,78.8
978,69.1
979,72.25
980,76.65
981,76.3
982,82.7
983,80.75
984,73.75
985,81.65
986,79.3
987,82.3
988,82.45
989,79.5
990,71.05
991,77.25
992,70.2
993,76.05
994,67.7
995,81.85
996,75.3
997,82.0
998,76.75
999,70.35
1000,71.45
1001,69.1
1002,74.75
1003,77.25
1004,85.25
1005,84.45
1006,73.1
1007,69.1
1008,62.65
1009,65.05
1010,71.15
1011,76.35
1012,76.65
1013,77.4
1014,71.5
1015,82.9
1016,70.65
1017,68.8
1018,68.65
1019,71.75
1020,71.8
1021,86.45
1022,86.5
1023,73.0
1024,74.4
1025,91.2
1026,77.2
1027,69.3
1028,71.55
1029,84.5
1030,84.5
1031,74.95
1032,67.65
1033,76.6
1034,74.05
1035,78.3
1036,72.0
1037,63.45
1038,70.15
1039,77.5
1040,79.65
1041,79.0
1042,75.6
1043,76.35
1044,84.95
1045,93.15
1046,87.4
1047,81.95
1048,72.85
1049,72.8
1050,79.3
1051,83.35
1052,87.35
1053,78.05
1054,79.25
1055,82.25
1056,76.15
1057,72.75
1058,79.1
1059,87.6
1060,84.4
1061,82.3
1062,93.25
1063,88.15
1064,73.05
1065,80.1
1066,82.65
1067,85.55
1068,79.1
1069,80.2
1070,78.2
1071,92.85
1072,86.65
1073,79.45
1074,92.45
1075,82.75
1076,88.9
1077,98.7
1078,96.75
1079,90.25
1080,89.5
1081,86.65
1082,89.4
1083,91.5
1084,88.45
1085,89.65
1086,87.3
1087,87.85
1088,96.4
1089,98.45
1090,92.4
1091,83.1
1092,77.7
1093,80.9
1094,82.95
1095,78.15
1096,82.25
1097,78.9
1098,85.15
1099,78.8
1100,74.7
1101,80.3
1102,83.75
1103,88.4
1104,82.45
1105,81.8
1106,78.25
1107,81.6
1108,90.8
1109,91.3
1110,91.15
1111,78.95
1112,82.95
1113,88.75
1114,88.4
1115,82.0
1116,87.75
1117,93.5
1118,82.1
1119,87.3
1120,89.85
1121,82.9
1122,83.3
1123,83.05
1124,82.45
1125,77.0
1126,80.3
1127,84.55
1128,86.0
1129,70.45
1130,76.7
1131,74.25
1132,74.7
1133,73.2
1134,73.95
1135,69.75
1136,69.15
1137,70.45
1138,67.95
1139,62.75
1140,58.4
1141,61.0
1142,61.7
1143,62.05
1144,59.85
1145,57.2
1146,58.15
1147,62.6
1148,59.4
1149,56.6
1150,56.4
1151,56.25
1152,54.0
1153,49.65
1154,53.45
1155,52.0
1156,56.5
1157,55.55
1158,53.4
1159,51.4
1160,50.55
1161,52.6
1162,51.4
1163,46.8
1164,46.05
1165,46.75
1166,42.55
1167,38.15
1168,43.85
1169,50.3
1170,47.65
1171,43.45
1172,40.5
1173,41.05
1174,42.55
1175,43.8
1176,41.35
1177,43.25
1178,41.45
1179,38.05
1180,34.5
1181,35.15
1182,39.7
1183,37.55
1184,31.15
1185,35.7
1186,33.35
1187,34.75
1188,33.15
1189,30.1
1190,32.9
1191,35.6
1192,39.75
1193,37.2
1194,37.1
1195,31.75
1196,30.3
1197,31.4
1198,32.8
1199,31.1
1200,30.8
1201,32.45
1202,35.65
1203,32.3
1204,31.1
1205,32.1
1206,30.35
1207,28.95
1208,24.1
1209,23.9
1210,24.75
1211,26.9
1212,25.35
1213,22.8
1214,23.45
1215,22.7
1216,21.35
1217,20.75
1218,19.6
1219,18.05
1220,17.8
1221,17.45
1222,17.35
1223,17.8
1224,18.25
1225,17.9
1226,15.75
1227,16.1
1228,17.35
1229,18.15
1230,15.35
1231,12.45
1232,10.45
1233,12.35
1234,10.5
1235,7.75
1236,5.35
1237,5.45
1238,5.35
1239,5.1
1240,4.75
1241,4.3
1242,3.0
1243,1.95
1244,1.05
1245,0.45
1246,-0.15
1247,-0.6
1248,-0.9
1249,-0.95
1250,-1.15
1251,-1.5
1252,-1.75
1253,-2.0
1254,-2.3
1255,-2.7
1256,-2.95
1257,-3.2
1258,-3.45
1259,-3.65
1260,-3.85
1261,-4.1
1262,-4.35
1263,-4.45
1264,-4.55
1265,-4.7
1266,-4.9
1267,-5.2
1268,-5.5
1269,-5.8
1270,-6.05
1271,-6.4
1272,-6.7
1273,-6.95
1274,-7.25
1275,-7.55
1276,-7.95
1277,-8.4
1278,-8.8
1279,-9.2
1280,-9.65
1281,-10.15
1282,-10.65
1283,-11.25
1284,-11.75
1285,-12.35
1286,-12.95
1287,-13.5
1288,-14.3
1289,-15.2
1290,-16.05
1291,-17.1
1292,-18.2
1293,-18.95
1294,-19.45
1295,-20.0
1296,-20.75
1297,-21.3
1298,-21.65
1299,-22.05
1300,-22.6
1301,-22.8
1302,-22.75
1303,-23.25
1304,-23.7
1305,-23.7
1306,-23.9
1307,-23.55
1308,-23.65
1309,-23.6
1310,-22.95
1311,-22.75
1312,-22.85
1313,-22.95
1314,-23.25
1315,-22.45
1316,-22.75
1317,-22.95
1318,-22.3
1319,-22.5
1320,-22.55
1321,-22.5
1322,-22.65
1323,-22.75
1324,-23.5
1325,-23.7
1326,-24.45
1327,-24.0
1328,-23.7
1329,-24.05
1330,-24.45
1331,-25.05
1332,-24.95
1333,-24.75
1334,-24.65
1335,-24.65
1336,-25.1
1337,-25.3
1338,-25.65
1339,-26.15
1340,-26.15
1341,-25.85
1342,-26.15
1343,-27.0
1344,-27.85
1345,-28.6
1346,-28.95
1347,-29.6
1348,-30.0
1349,-29.75
1350,-29.8
1351,-29.95
1352,-30.1
1353,-30.3
1354,-30.6
1355,-30.7
1356,-30.6
1357,-30.6
1358,-30.25
1359,-29.55
1360,-29.35
1361,-28.95
1362,-29.2
1363,-29.4
1364,-29.15
1365,-29.45
1366,-29.6
1367,-29.95
1368,-30.15
1369,-30.15
1370,-29.75
1371,-29.8
1372,-30.05
1373,-30.45
1374,-30.95
1375,-30.9
1376,-30.75
1377,-31.15
1378,-32.25
1379,-32.8
1380,-33.55
1381,-33.45
1382,-33.0
1383,-33.45
1384,-34.2
1385,-35.55
1386,-34.85
1387,-34.2
1388,-34.95
1389,-35.85
1390,-36.6
1391,-36.65
1392,-36.2
1393,-35.25
1394,-34.45
1395,-33.8
1396,-34.15
1397,-33.75
1398,-34.05
1399,-33.5
1400,-32.95
1401,-33.05
1402,-32.6
1403,-33.1
1404,-33.45
1405,-33.3
1406,-34.55
1407,-34.4
1408,-34.3
1409,-34.15
1410,-33.8
1411,-33.95
1412,-34.55
1413,-33.9
1414,-34.25
1415,-35.35
1416,-35.9
1417,-36.05
1418,-35.0
1419,-34.6
1420,-35.25
1421,-35.3
1422,-36.0
1423,-36.4
1424,-36.1
1425,-35.8
1426,-35.1
1427,-35.2
1428,-34.55
1429,-34.2
1430,-36.1
1431,-36.95
1432,-37.0
1433,-36.7
1434,-36.2
1435,-35.95
1436,-36.1
1437,-36.25
1438,-36.5
1439,-37.05
1440,-36.4
1441,-36.7
1442,-36.95
1443,-37.6
1444,-37.75
1445,-37.4
1446,-36.3
1447,-36.0
1448,-36.7
1449,-37.1
1450,-37.0
1451,-37.4
1452,-37.25
1453,-36.95
1454,-36.0
1455,-36.45
1456,-37.2
1457,-37.05
1458,-37.35
1459,-37.1
1460,-36.65
1461,-36.55
1462,-36.95
1463,-37.1
1464,-36.7
1465,-36.35
1466,-36.45
1467,-36.3
1468,-36.1
1469,-35.75
1470,-35.35
1471,-34.7
1472,-34.5
1473,-35.1
1474,-35.65
1475,-35.25
1476,-35.35
1477,-35.05
1478,-34.35
1479,-34.45
1480,-33.9
1481,-34.3
1482,-35.1
1483,-35.4
1484,-35.45
1485,-35.75
1486,-34.35
1487,-34.15
1488,-33.8
1489,-33.3
1490,-33.55
1491,-34.05
1492,-34.5
1493,-34.75
1494,-34.7
1495,-34.6
1496,-34.3
1497,-34.45
1498,-34.25
1499,-35.1
1500,-36.7
1501,-36.85
1502,-37.1
1503,-36.7
1504,-37.65
1505,-37.15
1506,-36.65
1507,-38.05
1508,-39.2
1509,-40.45
1510,-40.65
1511,-41.25
1512,-41.3
1513,-41.9
1514,-41.6
1515,-41.3
1516,-41.55
1517,-41.25
1518,-40.95
1519,-41.75
1520,-42.65
1521,-44.0
1522,-43.45
1523,-43.9
1524,-43.75
1525,-42.9
1526,-42.65
1527,-41.55
1528,-42.15
1529,-42.8
1530,-42.4
1531,-42.4
1532,-42.05
1533,-41.55
1534,-40.65
1535,-39.6
1536,-38.85
1537,-39.6
1538,-40.5
1539,-41.75
1540,-41.05
1541,-40.25
1542,-42.2
1543,-42.75
1544,-41.5
1545,-40.05
1546,-40.2
1547,-41.75
1548,-42.25
1549,-43.15
1550,-43.35
1551,-43.2
1552,-42.15
1553,-41.7
1554,-42.25
1555,-42.8
1556,-44.05
1557,-44.6
1558,-45.2
1559,-46.05
1560,-46.0
1561,-44.75
1562,-42.7
1563,-42.65
1564,-44.9
1565,-47.3
1566,-47.5
1567,-46.7
1568,-47.1
1569,-46.3
1570,-44.45
1571,-43.4
1572,-43.95
1573,-45.25
1574,-46.35
1575,-46.25
1576,-45.2
1577,-45.45
1578,-43.95
1579,-43.2
1580,-42.9
1581,-42.5
1582,-43.2
1583,-41.6
1584,-40.4
1585,-40.9
1586,-40.3
1587,-38.2
1588,-36.8
1589,-37.2
1590,-36.8
1591,-37.0
1592,-38.2
1593,-38.15
1594,-36.95
1595,-37.0
1596,-36.0
1597,-34.15
1598,-33.65
1599,-33.25
1600,-34.05
1601,-34.55
1602,-33.2
1603,-31.9
1604,-29.95
1605,-30.65
1606,-30.45
1607,-30.05
1608,-29.4
1609,-28.75
1610,-28.3
1611,-28.0
1612,-27.35
1613,-27.75
1614,-27.85
1615,-28.35
1616,-28.6
1617,-27.9
1618,-27.0
1619,-26.0
1620,-25.35
1621,-23.75
1622,-22.05
1623,-21.6
1624,-20.6
1625,-19.3
1626,-18.25
1627,-17.75
1628,-17.15
1629,-16.4
1630,-15.7
1631,-14.8
1632,-13.5
1633,-11.95
1634,-10.15
1635,-8.95
1636,-7.75
1637,-6.2
1638,-4.85
1639,-3.65
1640,-2.3
1641,-0.95
1642,0.2
1643,1.1
1644,2.05
1645,2.95
1646,4.0
1647,5.0
1648,5.9
1649,6.75
1650,7.7
1651,8.6
1652,9.75
1653,10.8
1654,15.25
1655,16.9
1656,21.3
1657,28.95
1658,32.6
1659,36.25
1660,37.7
1661,39.4
1662,43.55
1663,54.45
1664,51.95
1665,55.15
1666,57.9
1667,61.7
1668,54.25
1669,65.3
1670,72.05
1671,75.3
1672,78.6
1673,84.3
1674,92.0
1675,101.5
1676,98.8
1677,96.5
1678,111.9
1679,111.6
1680,115.65
1681,131.25
1682,121.25
1683,129.25
1684,127.65
1685,127.0
1686,128.4
1687,130.8
1688,137.05
1689,140.0
1690,152.9
1691,152.25
1692,145.6
1693,148.6
1694,147.85
1695,141.2
1696,134.7
1697,134.9
1698,134.1
1699,138.6
1700,129.5
1701,134.85
1702,128.65
1703,133.05
1704,137.95
1705,138.65
1706,127.6
1707,128.0
1708,133.8
1709,127.15
1710,130.95
1711,129.45
1712,134.95
1713,119.75
1714,119.6
1715,127.8
1716,128.85
1717,125.2
1718,121.8
1719,118.3
1720,123.7
1721,130.85
1722,128.9
1723,128.1
1724,127.85
1725,130.75
1726,130.55
1727,134.6
1728,123.6
1729,128.45
1730,128.05
1731,120.0
1732,117.2
1733,121.55
1734,127.7
1735,122.1
1736,119.95
1737,118.0
1738,110.15
1739,112.05
1740,113.5
1741,121.75
1742,118.8
1743,114.65
1744,115.1
1745,111.25
1746,115.5
1747,115.2
1748,108.35
1749,110.65
1750,116.6
1751,119.5
1752,112.55
1753,110.95
1754,106.55
1755,111.35
1756,108.95
1757,114.95
1758,107.35
1759,112.6
1760,109.85
1761,106.3
1762,112.05
1763,105.1
1764,105.25
1765,109.4
1766,104.55
1767,107.25
1768,115.15
1769,104.8
1770,108.15
1771,110.0
1772,113.35
1773,109.15
1774,111.8
1775,109.85
1776,117.95
1777,108.85
1778,110.25
1779,106.8
1780,112.4
1781,111.7
1782,113.05
1783,116.15
1784,118.5
1785,112.7
1786,118.65
1787,119.4
1788,119.95
1789,114.2
1790,117.55
1791,111.4
1792,103.85
1793,112.5
1794,119.0
1795,115.85
1796,107.3
1797,111.6
1798,115.3
1799,109.85
1800,108.6
1801,115.2
1802,112.75
1803,107.65
1804,114.3
1805,114.45
1806,119.55
1807,117.7
1808,115.15
1809,112.2
1810,108.05
1811,109.85
1812,103.9
1813,111.55
1814,113.4
1815,99.3
1816,116.4
1817,113.35
1818,107.8
1819,105.25
1820,100.45
1821,103.0
1822,99.65
1823,106.95
1824,92.8
1825,100.75
1826,96.85
1827,106.3
1828,99.5
1829,99.1
1830,100.65
1831,97.85
1832,95.6
1833,101.15
1834,99.35
1835,92.2
1836,90.3
1837,88.45
1838,91.55
1839,99.7
1840,94.95
1841,95.4
1842,98.55
1843,105.3
1844,94.0
1845,97.95
1846,105.7
1847,105.1
1848,100.95
1849,97.1
1850,104.25
1851,99.8
1852,95.95
1853,94.6
1854,95.6
1855,95.45
1856,89.6
1857,93.7
1858,96.65
1859,95.1
1860,97.9
1861,103.85
1862,89.55
1863,97.4
1864,91.75
1865,98.95
1866,96.05
1867,91.7
1868,90.15
1869,86.4
1870,82.9
1871,95.1
1872,93.65
1873,102.15
