,Data
1109,-40.2
1110,-40.65
1111,-40.85
1112,-41.55
1113,-41.6
1114,-41.55
1115,-41.3
1116,-41.2
1117,-41.7
1118,-41.95
1119,-42.35
1120,-42.4
1121,-42.7
1122,-42.7
1123,-42.6
1124,-42.35
1125,-42.2
1126,-43.2
1127,-42.75
1128,-43.2
1129,-43.05
1130,-41.8
1131,-42.15
1132,-43.4
1133,-43.3
1134,-42.85
1135,-42.45
1136,-41.4
1137,-41.55
1138,-41.35
1139,-41.5
1140,-42.25
1141,-42.35
1142,-41.9
1143,-42.0
1144,-41.8
1145,-41.35
1146,-41.45
1147,-41.4
1148,-41.0
1149,-43.05
1150,-43.3
1151,-42.15
1152,-41.45
1153,-42.35
1154,-42.8
1155,-43.25
1156,-43.25
1157,-43.55
1158,-43.0
1159,-43.65
1160,-44.05
1161,-43.9
1162,-43.0
1163,-43.2
1164,-43.05
1165,-43.95
1166,-43.25
1167,-42.95
1168,-43.4
1169,-42.25
1170,-42.0
1171,-43.5
1172,-42.9
1173,-43.35
1174,-44.3
1175,-44.35
1176,-43.75
1177,-43.3
1178,-43.55
1179,-44.25
1180,-44.25
1181,-45.1
1182,-44.9
1183,-44.8
1184,-46.4
1185,-46.35
1186,-45.7
1187,-44.9
1188,-44.25
1189,-43.45
1190,-44.65
1191,-44.9
1192,-44.95
1193,-45.45
1194,-44.95
1195,-45.1
1196,-44.6
1197,-46.05
1198,-46.35
1199,-45.45
1200,-44.4
1201,-45.3
1202,-45.7
1203,-46.5
1204,-46.5
1205,-46.7
1206,-45.9
1207,-45.25
1208,-47.25
1209,-47.85
1210,-47.15
1211,-47.95
1212,-48.0
1213,-47.85
1214,-48.45
1215,-48.65
1216,-48.2
1217,-49.45
1218,-50.75
1219,-48.95
1220,-47.95
1221,-48.75
1222,-48.85
1223,-49.45
1224,-47.65
1225,-46.2
1226,-49.1
1227,-48.8
1228,-48.05
1229,-46.4
1230,-47.3
1231,-47.0
1232,-48.4
1233,-47.8
1234,-48.0
1235,-47.25
1236,-46.5
1237,-47.3
1238,-46.9
1239,-46.85
1240,-47.35
1241,-46.95
1242,-46.9
1243,-46.95
1244,-47.3
1245,-47.7
1246,-47.25
1247,-46.9
1248,-46.3
1249,-46.8
1250,-46.3
1251,-46.2
1252,-46.65
1253,-46.75
1254,-46.9
1255,-46.2
1256,-45.6
1257,-46.4
1258,-46.45
1259,-45.75
1260,-45.05
1261,-44.7
1262,-45.65
1263,-45.5
1264,-45.3
1265,-46.1
1266,-45.15
1267,-45.55
1268,-46.3
1269,-46.15
1270,-45.65
1271,-45.4
1272,-46.35
1273,-46.0
1274,-47.2
1275,-47.7
1276,-47.55
1277,-47.7
1278,-47.15
1279,-46.8
1280,-48.15
1281,-48.35
1282,-47.75
1283,-47.15
1284,-47.65
1285,-46.5
1286,-46.4
1287,-49.25
1288,-51.05
1289,-50.4
1290,-49.9
1291,-49.45
1292,-49.4
1293,-49.1
1294,-52.0
1295,-52.45
1296,-51.5
1297,-50.9
1298,-51.6
1299,-53.15
1300,-53.15
1301,-54.85
1302,-53.55
1303,-51.65
1304,-52.05
1305,-55.0
1306,-54.95
1307,-54.2
1308,-53.25
1309,-52.4
1310,-53.4
1311,-53.4
1312,-53.65
1313,-53.75
1314,-53.4
1315,-52.3
1316,-54.65
1317,-55.35
1318,-56.3
1319,-56.05
1320,-55.3
1321,-54.0
1322,-52.65
1323,-52.4
1324,-54.0
1325,-54.7
1326,-53.15
1327,-52.0
1328,-50.5
1329,-49.65
1330,-52.05
1331,-53.0
1332,-53.05
1333,-53.0
1334,-51.95
1335,-51.55
1336,-51.15
1337,-51.85
1338,-51.6
1339,-51.05
1340,-50.35
1341,-49.4
1342,-50.8
1343,-52.15
1344,-53.45
1345,-53.0
1346,-51.35
1347,-50.15
1348,-50.4
1349,-51.45
1350,-51.6
1351,-50.6
1352,-49.15
1353,-49.75
1354,-52.3
1355,-51.95
1356,-50.5
1357,-49.4
1358,-50.0
1359,-49.9
1360,-50.25
1361,-48.7
1362,-47.6
1363,-47.8
1364,-48.6
1365,-48.1
1366,-48.6
1367,-47.4
1368,-47.8
1369,-47.9
1370,-46.6
1371,-46.2
1372,-45.05
1373,-44.3
1374,-44.45
1375,-44.8
1376,-43.55
1377,-41.5
1378,-40.95
1379,-41.25
1380,-40.4
1381,-38.7
1382,-38.5
1383,-37.15
1384,-35.55
1385,-34.15
1386,-33.95
1387,-33.5
1388,-32.3
1389,-32.05
1390,-32.0
1391,-29.85
1392,-28.5
1393,-27.0
1394,-25.6
1395,-24.05
1396,-22.75
1397,-21.2
1398,-19.6
1399,-17.9
1400,-16.4
1401,-14.3
1402,-12.3
1403,-10.4
1404,-8.55
1405,-6.95
1406,-5.0
1407,-3.3
1408,-1.65
1409,-0.2
1410,1.25
1411,2.6
1412,4.0
1413,5.4
1414,6.85
1415,8.1
1416,9.35
1417,10.5
1418,11.55
1419,12.4
1420,16.2
1421,21.25
1422,21.8
1423,27.75
1424,32.75
1425,31.35
1426,36.0
1427,37.1
1428,42.3
1429,44.75
1430,45.25
1431,45.6
1432,48.35
1433,55.45
1434,51.45
1435,58.55
1436,64.3
1437,62.3
1438,65.0
1439,69.2
1440,70.15
1441,70.35
1442,81.35
1443,78.9
1444,66.85
1445,89.05
1446,91.0
1447,88.9
1448,86.95
1449,92.25
1450,99.2
1451,99.95
1452,102.0
1453,102.45
1454,103.5
1455,108.85
1456,108.6
1457,111.4
1458,107.35
1459,106.65
1460,92.75
1461,109.45
1462,110.45
1463,115.3
1464,116.75
1465,112.45
1466,114.35
1467,110.05
1468,103.35
1469,99.5
1470,100.1
1471,100.15
1472,98.15
1473,99.85
1474,107.75
1475,118.8
1476,99.0
1477,92.4
1478,111.7
1479,118.25
1480,102.75
1481,113.3
1482,117.05
1483,111.25
1484,113.55
1485,119.15
1486,98.6
1487,109.75
1488,115.1
1489,105.4
1490,105.05
1491,109.45
1492,100.6
1493,105.85
1494,109.85
1495,115.05
1496,122.5
1497,111.3
1498,97.55
1499,106.7
1500,104.65
1501,111.5
1502,98.95
1503,98.6
1504,109.95
1505,103.4
1506,106.7
1507,94.85
1508,120.4
1509,123.1
1510,118.65
1511,102.6
1512,99.8
1513,121.7
1514,109.8
1515,116.35
1516,112.85
1517,110.35
1518,110.75
1519,109.1
1520,92.3
1521,100.95
1522,105.1
1523,100.3
1524,104.7
1525,114.95
1526,115.05
1527,110.45
1528,107.0
1529,116.25
1530,102.2
1531,104.3
1532,110.3
1533,117.3
1534,104.2
1535,114.95
1536,99.9
1537,111.7
1538,111.3
1539,116.15
1540,127.3
1541,120.9
1542,115.5
1543,115.1
1544,110.85
1545,120.15
1546,123.5
1547,123.05
1548,131.85
1549,111.1
1550,104.55
1551,106.6
1552,121.7
1553,120.3
1554,115.3
1555,113.3
1556,106.25
1557,111.95
1558,113.7
1559,117.9
1560,119.7
1561,113.65
1562,120.7
1563,116.55
1564,99.55
1565,113.85
1566,109.5
1567,110.1
1568,110.8
1569,124.95
1570,109.4
1571,104.3
1572,106.6
1573,111.95
1574,112.9
1575,115.3
1576,124.1
1577,98.5
1578,102.95
1579,110.15
1580,97.5
1581,112.95
1582,103.75
1583,103.85
1584,113.35
1585,113.7
1586,84.1
1587,104.2
1588,106.7
1589,99.35
1590,96.95
1591,103.0
1592,108.65
1593,111.6
1594,106.4
1595,109.85
1596,98.95
1597,96.3
1598,91.55
1599,96.0
1600,92.25
1601,97.65
1602,105.8
1603,111.35
1604,104.8
1605,103.75
1606,108.75
1607,102.4
1608,102.95
1609,105.5
1610,94.6
1611,104.55
1612,99.35
