,Data
802,81.9
803,85.4
804,92.85
805,89.75
806,90.4
807,92.6
808,78.3
809,85.4
810,78.25
811,73.1
812,76.85
813,84.2
814,77.25
815,90.05
816,80.5
817,80.0
818,83.95
819,86.75
820,95.0
821,83.3
822,84.75
823,86.4
824,82.65
825,94.7
826,83.5
827,95.05
828,92.5
829,86.75
830,95.15
831,93.65
832,91.45
833,94.1
834,101.35
835,96.9
836,103.3
837,111.55
838,95.8
839,98.1
840,104.4
841,111.7
842,102.35
843,91.0
844,87.65
845,101.15
846,98.5
847,100.05
848,98.65
849,102.3
850,94.9
851,88.4
852,80.05
853,79.85
854,84.2
855,92.85
856,104.25
857,87.35
858,84.65
859,83.5
860,87.45
861,90.15
862,99.85
863,111.1
864,109.45
865,89.05
866,92.9
867,101.8
868,99.1
869,94.1
870,96.2
871,90.3
872,84.9
873,90.95
874,97.55
875,98.45
876,106.15
877,89.5
878,103.75
879,92.5
880,100.4
881,99.35
882,101.1
883,91.2
884,85.8
885,87.15
886,88.9
887,96.85
888,97.15
889,86.75
890,84.1
891,100.4
892,104.4
893,88.15
894,93.25
895,86.1
896,91.3
897,105.05
898,98.4
899,90.1
900,89.6
901,89.5
902,88.95
903,91.7
904,104.05
905,97.35
906,113.75
907,103.4
908,113.95
909,126.25
910,120.25
911,115.1
912,110.75
913,101.5
914,112.6
915,107.7
916,117.45
917,121.7
918,130.75
919,124.3
920,115.0
921,119.35
922,112.95
923,119.75
924,106.3
925,110.45
926,118.1
927,109.8
928,118.3
929,105.7
930,98.45
931,110.8
932,109.8
933,108.05
934,100.2
935,114.0
936,114.15
937,111.55
938,112.9
939,110.2
940,114.5
941,101.0
942,111.55
943,106.45
944,93.0
945,104.6
946,103.0
947,93.2
948,103.25
949,100.85
950,93.35
951,92.55
952,100.45
953,100.5
954,92.7
955,95.55
956,92.05
957,89.7
958,93.9
959,95.75
960,88.4
961,80.8
962,84.9
963,84.15
964,77.1
965,86.75
966,81.55
967,80.3
968,91.8
969,88.3
970,81.7
971,77.45
972,79.35
973,73.4
974,76.2
975,81.95
976,81.85
977,80.65
978,80.05
979,69.25
980,69.1
981,68.7
982,67.55
983,67.25
984,63.65
985,59.7
986,60.25
987,56.8
988,50.25
989,47.35
990,50.55
991,46.0
992,45.1
993,42.55
994,45.0
995,37.5
996,39.6
997,34.7
998,35.0
999,34.05
1000,32.35
1001,34.0
1002,34.35
1003,31.05
1004,26.45
1005,24.5
1006,20.1
1007,21.0
1008,19.65
1009,19.25
1010,13.9
1011,13.9
1012,12.55
1013,10.85
1014,10.8
1015,8.55
1016,5.35
1017,4.2
1018,3.35
1019,3.25
1020,1.9
1021,0.05
1022,-0.7
1023,-1.3
1024,-2.0
1025,-2.5
1026,-2.9
1027,-3.45
1028,-4.25
1029,-5.1
1030,-6.15
1031,-7.2
1032,-8.15
1033,-8.9
1034,-10.0
1035,-11.05
1036,-12.0
1037,-12.85
1038,-13.8
1039,-14.65
1040,-15.4
1041,-16.2
1042,-16.9
1043,-17.7
1044,-18.35
1045,-19.05
1046,-19.75
1047,-20.4
1048,-20.85
1049,-21.3
1050,-21.6
1051,-21.85
1052,-22.15
1053,-22.75
1054,-23.15
1055,-23.9
1056,-24.4
1057,-25.1
1058,-25.95
1059,-26.6
1060,-27.9
1061,-28.7
1062,-29.65
1063,-30.0
1064,-30.9
1065,-31.65
1066,-32.85
1067,-33.05
1068,-33.75
1069,-34.5
1070,-35.0
1071,-35.3
1072,-36.1
1073,-36.8
1074,-37.55
1075,-37.6
1076,-38.0
1077,-37.45
1078,-37.7
1079,-38.45
1080,-39.2
1081,-39.7
1082,-40.0
1083,-39.45
1084,-39.5
1085,-39.9
1086,-40.05
1087,-41.15
1088,-41.85
1089,-41.4
1090,-41.2
1091,-41.2
1092,-41.9
1093,-41.35
1094,-39.9
1095,-39.55
1096,-39.1
1097,-39.0
1098,-39.5
1099,-39.0
1100,-40.15
1101,-40.4
1102,-39.7
1103,-40.25
1104,-40.3
1105,-40.2
1106,-40.95
1107,-40.3
1108,-40.75
1109,-40.85
1110,-41.15
1111,-41.0
1112,-40.4
1113,-41.2
1114,-40.9
1115,-40.4
1116,-39.25
1117,-39.45
1118,-39.1
1119,-39.25
1120,-38.25
1121,-37.7
1122,-38.1
1123,-39.75
1124,-38.7
1125,-38.75
1126,-39.05
1127,-38.9
1128,-38.2
1129,-38.8
1130,-40.35
1131,-39.8
1132,-39.25
1133,-39.65
1134,-38.2
1135,-38.4
1136,-39.5
1137,-39.3
1138,-40.35
1139,-41.05
1140,-40.15
1141,-40.3
1142,-40.8
1143,-40.3
1144,-40.05
1145,-41.05
1146,-40.2
1147,-39.35
1148,-38.95
1149,-39.75
1150,-40.8
1151,-40.25
1152,-40.85
1153,-41.15
1154,-39.9
1155,-39.55
1156,-39.35
1157,-40.5
1158,-41.3
1159,-40.55
1160,-41.45
1161,-41.65
1162,-40.65
1163,-39.35
1164,-40.5
1165,-41.45
1166,-40.95
1167,-40.85
1168,-41.65
1169,-41.0
1170,-39.75
1171,-39.15
1172,-40.15
1173,-40.9
1174,-39.7
1175,-40.05
1176,-40.95
1177,-40.2
1178,-39.75
1179,-40.05
1180,-39.85
1181,-40.6
1182,-41.0
1183,-40.4
1184,-40.2
1185,-40.65
1186,-41.2
1187,-41.4
1188,-40.7
1189,-41.55
1190,-41.65
1191,-41.5
1192,-41.6
1193,-41.4
1194,-40.95
1195,-40.5
1196,-42.2
1197,-42.75
1198,-42.2
1199,-40.2
1200,-41.4
1201,-42.1
1202,-40.75
1203,-39.65
1204,-40.95
1205,-41.15
1206,-41.0
1207,-40.8
1208,-41.3
1209,-41.2
1210,-39.95
1211,-39.95
1212,-41.05
1213,-41.0
1214,-40.65
1215,-39.9
1216,-40.45
1217,-39.15
1218,-40.7
1219,-41.4
1220,-40.15
1221,-40.55
1222,-40.35
1223,-40.05
1224,-39.7
1225,-40.8
1226,-40.9
1227,-41.35
1228,-41.5
1229,-41.1
1230,-40.75
1231,-41.55
1232,-42.15
1233,-41.95
1234,-42.7
1235,-42.4
1236,-41.35
1237,-42.35
1238,-43.35
1239,-43.7
1240,-42.95
1241,-43.65
1242,-43.55
1243,-43.45
1244,-43.6
1245,-43.2
1246,-42.8
1247,-42.05
1248,-42.5
1249,-42.65
1250,-41.75
1251,-44.1
1252,-43.5
1253,-42.65
1254,-43.6
1255,-43.4
1256,-41.1
1257,-42.0
1258,-43.45
1259,-43.55
1260,-42.0
1261,-41.35
1262,-42.4
1263,-42.55
1264,-41.5
1265,-42.8
1266,-42.0
1267,-41.25
1268,-41.2
1269,-42.15
1270,-40.5
1271,-40.4
1272,-40.35
1273,-40.85
1274,-39.95
1275,-39.0
1276,-38.55
1277,-38.4
1278,-37.75
1279,-37.35
1280,-38.8
1281,-38.75
1282,-38.9
1283,-38.0
1284,-38.2
1285,-37.85
1286,-37.95
1287,-37.75
1288,-37.7
1289,-38.05
1290,-37.85
1291,-37.2
1292,-37.15
1293,-36.3
1294,-35.65
1295,-35.35
1296,-36.2
1297,-35.9
1298,-35.65
1299,-34.75
1300,-34.2
1301,-34.2
1302,-33.7
1303,-34.05
1304,-34.05
1305,-33.7
1306,-33.9
1307,-33.6
1308,-33.4
1309,-33.05
1310,-33.75
1311,-34.65
1312,-33.9
1313,-33.5
1314,-34.4
1315,-35.5
1316,-35.75
1317,-36.7
1318,-36.4
1319,-36.2
1320,-36.2
1321,-37.7
1322,-38.25
1323,-37.9
1324,-38.3
1325,-38.65
1326,-38.8
1327,-38.3
1328,-38.15
1329,-38.75
1330,-38.5
1331,-38.6
1332,-38.8
1333,-39.6
1334,-39.6
1335,-39.25
1336,-39.1
1337,-39.25
1338,-39.2
1339,-39.5
1340,-39.15
1341,-39.25
1342,-40.35
1343,-39.5
1344,-38.85
1345,-39.0
1346,-40.55
1347,-40.3
1348,-40.1
1349,-38.75
1350,-40.4
1351,-40.7
1352,-39.1
1353,-38.7
1354,-39.8
1355,-39.95
1356,-40.1
1357,-40.6
1358,-41.05
1359,-41.0
1360,-39.45
1361,-38.1
1362,-39.85
1363,-40.15
1364,-40.05
1365,-39.9
1366,-40.2
1367,-40.75
1368,-40.35
1369,-39.75
1370,-38.85
1371,-40.25
1372,-41.55
1373,-40.95
1374,-41.35
1375,-42.05
1376,-43.15
1377,-42.95
1378,-41.95
1379,-42.05
1380,-44.4
1381,-44.75
1382,-44.9
1383,-45.65
1384,-45.55
1385,-46.4
1386,-45.35
1387,-44.0
1388,-44.9
1389,-46.3
1390,-46.5
1391,-47.25
1392,-47.8
1393,-47.8
1394,-48.25
1395,-48.0
1396,-45.6
1397,-44.9
1398,-46.15
1399,-47.9
1400,-48.6
1401,-49.3
1402,-48.9
1403,-48.8
1404,-49.7
1405,-49.5
1406,-48.25
1407,-48.0
1408,-48.05
1409,-47.65
1410,-46.7
1411,-45.8
1412,-47.15
1413,-48.35
1414,-49.15
1415,-48.5
1416,-47.1
1417,-46.6
1418,-47.7
1419,-48.0
1420,-48.75
1421,-48.8
1422,-47.5
1423,-46.95
1424,-46.4
1425,-47.9
1426,-48.55
1427,-48.15
1428,-47.6
1429,-47.2
1430,-48.0
1431,-50.05
1432,-50.15
1433,-48.8
1434,-48.1
1435,-46.6
1436,-46.9
1437,-46.5
1438,-47.5
1439,-49.85
1440,-49.9
1441,-49.75
1442,-48.75
1443,-48.4
1444,-47.85
1445,-49.3
1446,-50.7
1447,-50.1
1448,-48.95
1449,-48.15
1450,-46.6
1451,-47.2
1452,-49.4
1453,-48.9
1454,-47.75
1455,-46.55
1456,-45.95
1457,-48.55
1458,-48.4
1459,-47.65
1460,-45.7
1461,-45.1
1462,-45.5
1463,-46.7
1464,-47.8
1465,-47.05
1466,-45.75
1467,-44.65
1468,-43.7
1469,-44.3
1470,-44.9
1471,-44.3
1472,-45.05
1473,-45.05
1474,-43.25
1475,-42.5
1476,-43.95
1477,-44.6
1478,-44.7
1479,-44.6
1480,-43.45
1481,-42.35
1482,-43.65
1483,-44.1
1484,-45.65
1485,-46.95
1486,-46.0
1487,-44.55
1488,-43.85
1489,-43.55
1490,-45.7
1491,-46.7
1492,-46.3
1493,-45.05
1494,-44.85
1495,-45.45
1496,-46.55
1497,-46.8
1498,-46.1
1499,-44.7
1500,-43.4
1501,-42.45
1502,-43.05
1503,-43.4
1504,-42.75
1505,-42.35
1506,-41.1
1507,-41.2
1508,-39.7
1509,-38.55
1510,-37.7
1511,-37.05
1512,-36.85
1513,-35.95
1514,-34.75
1515,-33.5
1516,-32.8
1517,-32.0
1518,-31.3
1519,-30.55
1520,-29.9
1521,-28.95
1522,-27.55
1523,-26.35
1524,-25.65
1525,-24.5
1526,-23.45
1527,-21.4
1528,-20.75
1529,-19.75
1530,-18.45
1531,-17.6
1532,-15.9
1533,-14.5
1534,-13.45
1535,-12.35
1536,-11.25
1537,-9.9
1538,-8.35
1539,-6.85
1540,-5.6
1541,-4.1
1542,-2.75
1543,-1.5
1544,-0.4
1545,0.85
1546,2.1
1547,3.15
1548,4.4
1549,5.6
1550,7.3
1551,8.6
1552,10.05
1553,11.6
1554,12.55
1555,13.55
1556,18.0
1557,24.4
1558,29.7
1559,31.05
1560,34.8
1561,40.6
1562,54.6
1563,56.4
1564,53.45
1565,55.15
1566,60.7
1567,74.2
1568,74.1
1569,72.75
1570,71.1
1571,82.25
1572,81.95
1573,88.0
1574,77.7
1575,72.85
1576,77.7
1577,76.3
1578,79.25
1579,76.35
1580,76.8
1581,94.95
1582,90.85
1583,91.5
1584,91.45
1585,94.95
1586,96.8
1587,97.5
1588,90.45
1589,101.25
1590,98.4
1591,91.2
1592,98.65
1593,97.4
1594,78.85
1595,62.5
1596,52.45
1597,64.4
1598,66.3
1599,57.65
1600,61.8
1601,73.15
1602,75.85
1603,64.9
1604,62.25
1605,69.25
1606,64.6
1607,79.0
1608,76.8
1609,94.35
1610,86.15
1611,75.1
1612,69.95
1613,77.05
1614,87.9
1615,79.85
1616,92.2
1617,90.5
1618,81.05
1619,74.35
1620,62.75
1621,64.65
1622,64.05
1623,75.95
1624,69.55
1625,77.85
1626,82.35
1627,76.9
1628,80.35
1629,76.4
1630,59.6
1631,71.8
1632,77.95
1633,76.1
1634,94.1
1635,76.4
1636,82.5
1637,77.35
1638,70.4
1639,85.0
1640,71.8
1641,67.15
1642,79.9
1643,81.75
1644,98.05
1645,93.35
1646,95.0
1647,94.85
1648,86.75
1649,80.45
1650,87.65
1651,85.15
1652,87.5
1653,82.4
1654,73.2
1655,89.3
1656,73.7
1657,80.05
1658,100.5
1659,96.75
1660,99.3
1661,90.75
1662,94.9
1663,96.4
1664,104.2
1665,89.05
1666,102.15
1667,112.95
1668,123.45
1669,139.2
1670,126.35
1671,120.75
1672,126.2
1673,120.0
1674,116.4
1675,126.25
1676,114.45
1677,119.85
1678,107.55
1679,120.2
1680,96.2
1681,106.1
1682,86.95
1683,89.65
1684,85.25
1685,105.8
1686,95.7
1687,101.35
1688,93.4
1689,107.4
